Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,X3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Longitude,Latitude,county,tract,blkgrp,HIMEDBYX,HIAVGBYX,INCPHMBYX,VACANTHUBY,POPDENBY,CAPINCBY,HHCHG2KBY,POPCH2KBY,MEDINC2KBY,ED10HSCHBYX,NOHSDIPBY,COLNODEGBY,COLLDEGBY,PRODEGBY,FC15OF18BYX,ECPOP16PBYX,HVMEDBY,HVAVGBY,MS03PMARBYX,WHTPOPBYX,POPBYX,P0004BYX,P0509BYX,P1014BYX,P1519BYX,P2024BYX,P2529BYX,P3034BYX,P3539BYX,P4044BYX,P4549BYX,P5054BYX,P5559BYX,P6064BYX,P6569BYX,P7074BYX,P7579BYX,P8084BYX,P85PBYX,POPBY,HHBY
11,20,RL,70.0,11200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,Ex,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,,Detchd,1965.0,Unf,1,384,TA,TA,Y,0,0,0,0,0,0,,,,0,2,2008,WD,Normal,129500,-93.66980600000001,42.033225,169,000600,4,73391.85714285714,90136.39999999998,36559.74926253688,8.0,2200.6026383739886,36559.74926253688,-0.1791044776119403,-0.19572953736654802,0.4330088314577723,0.1036717062634989,0.02375809935205184,0.08855291576673865,0.4881209503239741,0.29589632829373647,0.05090909090909091,1.0,174194.0,188038.0,0.5036496350364964,0.9144542772861356,1.0,0.07227138643067846,0.054572271386430685,0.06489675516224189,0.050147492625368724,0.0752212389380531,0.10471976401179943,0.0752212389380531,0.05162241887905605,0.04424778761061946,0.06489675516224189,0.0752212389380531,0.07227138643067846,0.04719764011799409,0.050147492625368724,0.050147492625368724,0.02212389380530973,0.016224188790560472,0.008849557522123894,678.0,275.0
12,60,RL,85.0,11924,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,GasA,Ex,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3,736,TA,TA,Y,147,21,0,0,0,0,,,,0,7,2006,New,Partial,345000,-93.652334,42.060866,169,000100,2,92967.75,112187.19966859983,43554.18140881312,36.0,1090.2749920615072,43554.18140881312,1.414,1.519417475728155,0.11330697016247022,0.056,0.014588235294117647,0.13458823529411762,0.4809411764705882,0.31388235294117645,0.015741507870753936,1.0,221827.00000000003,256323.99999999997,0.7533726812816189,0.8988439306358381,1.0,0.08413615928066795,0.0838150289017341,0.07032755298651253,0.04816955684007707,0.031149646756583174,0.04592164418754014,0.07418111753371869,0.07803468208092486,0.07931920359666024,0.06165703275529865,0.054913294797687855,0.07225433526011561,0.05876685934489403,0.04463712267180475,0.043994861913937054,0.034360950545921636,0.023121387283236997,0.011239563262684648,3114.0,1207.0
13,20,RL,,12968,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,GasA,TA,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,TA,4,Typ,0,,Detchd,1962.0,Unf,1,352,TA,TA,Y,140,0,0,0,176,0,,,,0,9,2008,WD,Normal,144000,-93.67574300000001,42.035179,169,000600,2,48659.714285714275,50759.101214574905,21106.89898989899,13.0,4571.009743305542,21106.89898989899,-0.060836501901140684,-0.05863708399366085,0.17285215152804778,0.10059171597633136,0.05325443786982249,0.3372781065088758,0.43491124260355035,0.07396449704142012,0.08097165991902834,1.0,136364.00000000003,128421.0,0.6079664570230608,0.867003367003367,1.0,0.08754208754208753,0.06902356902356904,0.04040404040404041,0.03535353535353535,0.19865319865319864,0.1599326599326599,0.09932659932659932,0.057239057239057235,0.043771043771043766,0.045454545454545456,0.02693602693602693,0.03535353535353535,0.04040404040404041,0.011784511784511785,0.02525252525252525,0.011784511784511785,0.006734006734006735,0.005050505050505051,594.0,247.0
14,20,RL,91.0,10652,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,GasA,Ex,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3,840,TA,TA,Y,160,33,0,0,0,0,,,,0,8,2007,New,Partial,279500,-93.691248,42.025594,169,000600,1,65980.59509202454,73491.59982332154,30142.206884057967,35.0,2534.657261335563,30142.206884057967,0.1586489252814739,0.14333057166528584,0.4927355609610196,0.08096415327564895,0.016069221260815822,0.09270704573547588,0.4721878862793573,0.33807169344870214,0.05123674911660778,1.0,203448.0,226766.0,0.5735694822888283,0.8079710144927537,1.0,0.07681159420289856,0.06376811594202897,0.06159420289855073,0.05217391304347826,0.15942028985507245,0.12753623188405794,0.08514492753623187,0.060144927536231886,0.05,0.05507246376811594,0.06195652173913044,0.06123188405797101,0.03152173913043478,0.02355072463768116,0.013768115942028985,0.007246376811594203,0.004710144927536232,0.004347826086956522,2760.0,1132.0
15,20,RL,,10920,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,GasA,TA,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1,352,TA,TA,Y,0,213,176,0,0,0,,GdWo,,0,5,2008,WD,Normal,157000,-93.605659,42.038686,169,000200,2,53702.703703703686,67161.3,29098.536687631025,24.0,4613.23249739033,29098.536687631025,-0.015873015873015872,-0.018518518518518517,-0.001564974322214306,0.3240917782026769,0.014340344168260041,0.14627151051625242,0.3193116634799236,0.1959847036328872,0.03870967741935484,1.0,150214.0,154788.0,0.5900253592561285,0.896575821104123,1.0,0.07547169811320754,0.05101327742837177,0.04682040531097135,0.039832285115303984,0.055904961565338925,0.08595387840670858,0.07127882599580712,0.0496156533892383,0.0573025856044724,0.04682040531097135,0.07337526205450735,0.07407407407407406,0.05660377358490566,0.047519217330538085,0.04682040531097135,0.05520614954577218,0.037037037037037035,0.029350104821802937,1431.0,620.0
16,45,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,GasA,Ex,Y,FuseA,854,0,0,854,0,0,1,0,2,1,TA,5,Typ,0,,Detchd,1991.0,Unf,2,576,TA,TA,Y,48,112,0,0,0,0,,GdPrv,,0,7,2007,WD,Normal,132000,-93.6224,42.031321000000005,169,000900,1,72843.82758620691,89442.50088495576,41018.679383116876,35.0,4078.884219798615,41018.679383116876,-0.043993231810490696,-0.12357954545454546,0.4038328969133989,0.1345496009122007,0.052451539338654506,0.15279361459521096,0.37856328392246286,0.2816419612314709,0.035398230088495575,1.0,146078.0,207887.99999999997,0.5317307692307692,0.9351701782820095,1.0,0.060777957860615885,0.04862236628849271,0.04781199351701783,0.050243111831442464,0.08184764991896272,0.10372771474878445,0.08427876823338736,0.04943273905996758,0.04619124797406808,0.06320907617504051,0.08103727714748783,0.0899513776337115,0.07455429497568881,0.04457050243111831,0.023500810372771474,0.024311183144246355,0.013776337115072932,0.012155591572123177,1234.0,565.0
17,20,RL,,11241,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,GasA,Ex,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,,,Shed,700,3,2010,WD,Normal,149000,-93.626231,42.055147,169,000300,2,42607.69565217391,50969.09934853421,27308.051483420593,20.0,6041.544430594017,27308.051483420593,0.037162162162162164,-0.03372681281618887,0.5187442755170094,0.35595238095238096,0.03690476190476191,0.2178571428571429,0.24642857142857144,0.14285714285714285,0.035830618892508145,1.0,126209.99999999999,129899.00000000003,0.4015518913676042,0.7417102966841188,1.0,0.04013961605584642,0.034904013961605584,0.025305410122164047,0.030541012216404886,0.13612565445026178,0.16928446771378708,0.0924956369982548,0.04537521815008726,0.043630017452006974,0.05148342059336824,0.041012216404886566,0.05846422338568935,0.05061082024432809,0.042757417102966835,0.034904013961605584,0.031413612565445025,0.036649214659685854,0.034904013961605584,1146.0,614.0
18,90,RL,72.0,10791,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,,,,,0,,0,0,0,GasA,TA,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,TA,6,Typ,0,,CarPort,1967.0,Unf,2,516,TA,TA,Y,0,0,0,0,0,0,,,Shed,500,10,2006,WD,Normal,90000,-93.671213,42.033388,169,000600,3,70680.81818181816,84467.89959839357,34649.929159802305,7.0,3836.7795160176156,34649.929159802305,-0.11071428571428572,-0.17189631650750342,0.2726215862413446,0.03316326530612245,0.0,0.19642857142857145,0.5943877551020408,0.1760204081632653,0.06827309236947793,1.0,154667.0,151334.0,0.6782077393075356,0.8962108731466227,1.0,0.08072487644151564,0.060955518945634266,0.049423393739703454,0.0642504118616145,0.09884678747940691,0.0971993410214168,0.1087314662273476,0.04777594728171335,0.03789126853377265,0.049423393739703454,0.07413509060955518,0.054365733113673806,0.0313014827018122,0.044481054365733116,0.04612850082372323,0.02800658978583196,0.019769357495881386,0.0065897858319604605,607.0,249.0
19,20,RL,66.0,13695,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,GasA,Ex,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,,Detchd,2004.0,Unf,2,576,TA,TA,Y,0,102,0,0,0,0,,,,0,6,2008,WD,Normal,159000,-93.690761,42.037805999999996,169,000600,1,65980.59509202454,73491.59982332154,30142.206884057967,35.0,2534.657261335563,30142.206884057967,0.1586489252814739,0.14333057166528584,0.4927355609610196,0.08096415327564895,0.016069221260815822,0.09270704573547588,0.4721878862793573,0.33807169344870214,0.05123674911660778,1.0,203448.0,226766.0,0.5735694822888283,0.8079710144927537,1.0,0.07681159420289856,0.06376811594202897,0.06159420289855073,0.05217391304347826,0.15942028985507245,0.12753623188405794,0.08514492753623187,0.060144927536231886,0.05,0.05507246376811594,0.06195652173913044,0.06123188405797101,0.03152173913043478,0.02355072463768116,0.013768115942028985,0.007246376811594203,0.004710144927536232,0.004347826086956522,2760.0,1132.0
20,20,RL,70.0,7560,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,GasA,TA,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,TA,6,Min1,0,,Attchd,1958.0,Unf,1,294,TA,TA,Y,0,0,0,0,0,0,,MnPrv,,0,5,2009,COD,Abnorml,139000,-93.606889,42.035968,169,000200,3,63447.275862068964,70865.39957264958,32674.88374384236,22.0,4855.505920433825,32674.88374384236,-0.01680672268907563,-0.05130597014925373,0.4901728536642378,0.19372442019099587,0.03956343792633015,0.25375170532060026,0.43792633015006815,0.07503410641200543,0.02991452991452992,1.0,123280.0,126074.00000000001,0.6,0.9311701081612584,1.0,0.07669616519174041,0.050147492625368724,0.04228121927236971,0.037364798426745324,0.07276302851524091,0.11701081612586035,0.07964601769911504,0.07276302851524091,0.05506391347099312,0.057030481809242875,0.06784660766961652,0.07079646017699115,0.07177974434611603,0.029498525073746312,0.035398230088495575,0.024582104228121928,0.0127826941986234,0.02654867256637168,1017.0,468.0
